review_id,product_category,product_name,user_id,review_title,review_text,rating,verified_purchase,helpful_votes,sentiment
,Beauty,Lipstick,U6138,Okay,"The Lipstick works okay, but could be better.",4,Yes,21,Positive
466,Books,Fiction Novel,U5171,Okay,,1,No,18,Negative
610,Electronics,Smartphone,U8656,Loved it,The Smartphone stopped working after a week.,5,No,18,Positive
48,Books,Cookbook,U1929,Not good,Decent Cookbook for the price point.,4,Yes,28,Positive
904,Fashion,Sneakers,U6803,Loved it,"The Sneakers is amazing, I love it!",3,Yes,32,Neutral
1433,Home & Kitchen,Microwave Oven,U3693,Not good,"The Microwave Oven is amazing, I love it!",2,Yes,4,Negative
638,Beauty,Face Cream,U4247,Okay,"The Face Cream works okay, but could be better.",2,No,35,Negative
871,Beauty,Shampoo,U4433,Not good,The Shampoo stopped working after a week.,2,Yes,43,Negative
991,Electronics,Smartwatch,U4344,Not good,I use this Smartwatch every day and it’s fantastic.,2,No,7,Negative
867,Electronics,Laptop,U7571,Loved it,Really disappointed with the Laptop.,1,Yes,7,Negative
903,Home & Kitchen,Coffee Maker,U8910,Not good,Decent Coffee Maker for the price point.,1,No,29,
932,Books,Fiction Novel,U6695,Terrible,Decent Fiction Novel for the price point.,3,Yes,,Neutral
416,Beauty,Shampoo,U5144,Not good,,1,Yes,,Negative
922,Electronics,Smartwatch,U3901,Okay,"Not worth the money, poor quality Smartwatch.",1,No,,Negative
105,Fashion,Handbag,U3747,Loved it,"Not worth the money, poor quality Handbag.",5,No,0,Positive
549,Home & Kitchen,Microwave Oven,,Great!,,5,No,50,Positive
1154,Electronics,Smartphone,U7737,,"The Smartphone is amazing, I love it!",3,Yes,,Neutral
318,Beauty,Shampoo,U3632,Loved it,Exceeded my expectations! Great Shampoo.,2,Yes,42,Negative
214,Fashion,Jacket,U1116,,,1,No,12,Negative
60,Home & Kitchen,Coffee Maker,U5515,Not good,I use this Coffee Maker every day and it’s fantastic.,1,No,15,Negative
,Books,Self-help Book,U3760,Loved it,"The Self-help Book is amazing, I love it!",3,Yes,22,Neutral
1326,Electronics,Smartwatch,U3124,Great!,"The Smartwatch is amazing, I love it!",1,No,47,Negative
1380,Home & Kitchen,Blender,U6743,Great!,Decent Blender for the price point.,1,No,5,Negative
1360,Electronics,Smartwatch,U7486,Loved it,I use this Smartwatch every day and it’s fantastic.,2,Yes,20,Negative
1206,Beauty,Face Cream,U1542,Not good,"The Face Cream works okay, but could be better.",2,Yes,20,Negative
1392,Fashion,T-shirt,U4657,Terrible,"Not worth the money, poor quality T-shirt.",3,No,28,Neutral
1075,Electronics,Smartwatch,U1859,Loved it,"Not worth the money, poor quality Smartwatch.",5,Yes,21,Positive
1335,Electronics,Smartphone,U4155,Great!,The Smartphone stopped working after a week.,4,Yes,20,Positive
921,Beauty,Shampoo,U4858,Loved it,The Shampoo stopped working after a week.,4,No,2,Positive
1130,Beauty,Shampoo,U6011,Okay,Decent Shampoo for the price point.,4,No,24,Positive
1019,Beauty,Hair Dryer,,Terrible,The Hair Dryer stopped working after a week.,4,Yes,9,Positive
881,Beauty,Shampoo,U5965,Terrible,Decent Shampoo for the price point.,4,No,10,Positive
1118,Home & Kitchen,Air Fryer,U7112,Terrible,"The Air Fryer is amazing, I love it!",2,Yes,37,Negative
673,Electronics,Laptop,U4634,Great!,"The Laptop is amazing, I love it!",1,Yes,46,Negative
